month,year,oc_Kapichira,oc_Nkula A,oc_Nkula B,oc_Tedzani
5,2012,64,15,100,93
6,2012,64,15,100,93
7,2012,64,15,100,93
8,2012,64,15,100,93
9,2012,64,15,100,93
10,2012,64,15,100,93
11,2012,64,15,100,93
12,2012,64,15,100,93
1,2013,64,15,100,93
2,2013,64,15,100,93
3,2013,64,15,100,93
4,2013,64,15,100,93
5,2013,64,15,100,93
6,2013,64,15,100,93
7,2013,64,15,100,93
8,2013,64,15,100,93
9,2013,64,15,100,93
10,2013,64,15,100,93
11,2013,64,15,100,93
12,2013,64,15,100,93
1,2014,64,15,100,93
2,2014,129,15,100,93
3,2014,129,15,100,93
4,2014,129,15,100,93
5,2014,129,15,100,93
6,2014,129,15,100,93
7,2014,129,15,100,93
8,2014,129,15,100,93
9,2014,129,15,100,93
10,2014,129,15,100,93
11,2014,129,15,100,93
12,2014,129,15,100,93
1,2015,129,15,100,93
2,2015,129,15,100,93
3,2015,129,15,100,93
4,2015,129,15,100,93
5,2015,129,15,100,93
6,2015,129,15,100,93
7,2015,129,15,100,93
8,2015,129,15,100,93
9,2015,129,15,100,93
10,2015,129,15,100,93
11,2015,129,15,100,93
12,2015,129,15,100,93
1,2016,129,15,100,93
2,2016,129,15,100,93
3,2016,129,15,100,93
4,2016,129,15,100,93
5,2016,129,15,100,93
6,2016,129,15,100,93
7,2016,129,15,100,93
8,2016,129,15,100,93
9,2016,129,15,100,93
10,2016,129,15,100,93
11,2016,129,15,100,93
12,2016,129,15,100,93
1,2017,129,15,100,93
2,2017,129,15,100,93
3,2017,129,15,0,93
4,2017,129,0,90,93
5,2017,129,0,100,93
6,2017,129,0,100,93
7,2017,129,0,100,93
8,2017,129,0,100,93
9,2017,129,0,100,93
10,2017,129,0,100,93
11,2017,129,0,100,93
12,2017,129,0,100,93
1,2018,129,0,100,93
2,2018,129,0,100,93
3,2018,129,0,100,93
4,2018,129,0,90,93
5,2018,129,0,100,93
6,2018,129,0,100,93
7,2018,129,0,100,93
8,2018,129,0,100,93
9,2018,129,0,100,40
10,2018,129,0,100,40
,,,,,
